position,coef,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
ra,kl_mean_3,GO_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING,4.011366859719797e-4,0.08453043982573172,0.49849310876659025,0.6468803001657105,2.037104065200738,21,
ra,kl_mean_3,GO_REGULATION_OF_KIDNEY_DEVELOPMENT,0.0012842050850990828,0.09983494874826744,0.45505986738722953,0.6068205725578008,1.9562671994119365,23,
ra,kl_mean_3,GO_MICROTUBULE_POLYMERIZATION,7.474340152063334e-4,0.09983494874826744,0.47727081536286214,0.5013309235246837,1.8946225138582604,46,
ra,kl_mean_3,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,8.9423806637607e-4,0.09983494874826744,0.47727081536286214,0.5570304582120815,1.8763701082004296,29,
ra,kl_mean_3,GO_DE_NOVO_PROTEIN_FOLDING,0.003506120410016753,0.1372745050594633,0.4317076958033464,0.5656599436621199,1.8680816307914456,26,
ra,kl_mean_3,GO_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT,0.001261892781367071,0.09983494874826744,0.45505986738722953,0.49120654906684186,1.856360625579561,46,
ra,kl_mean_3,GO_ACTIVATION_OF_GTPASE_ACTIVITY,5.286807704031578e-4,0.08889275867140325,0.47727081536286214,0.4806622904352287,1.8557545955496915,53,
ra,kl_mean_3,GO_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.003333190258227022,0.1372745050594633,0.4317076958033464,0.5748684024565607,1.8532598441147776,23,
ra,kl_mean_3,GO_STEROID_HORMONE_RECEPTOR_ACTIVITY,0.0037103541941120063,0.1372745050594633,0.4317076958033464,0.5610949005103557,1.853005659174345,26,
ra,kl_mean_3,GO_RECEPTOR_TYROSINE_KINASE_BINDING,0.0016205179725404823,0.10857044019357595,0.45505986738722953,0.5019743174933844,1.8522242481697304,43,
ra,kl_mean_3,GO_WNT_SIGNALING_PATHWAY_CALCIUM_MODULATING_PATHWAY,0.0037309291711588384,0.1372745050594633,0.4317076958033464,0.5730185603957374,1.8432794051099637,22,
ra,kl_mean_3,GO_NEURON_PROJECTION_GUIDANCE,2.11057476868788e-5,0.024461561569092526,0.5756102610711286,0.3854685119769249,1.8140925596681658,165,
ra,kl_mean_3,GO_SYNAPTIC_VESICLE_CYCLE,5.638212549669239e-5,0.04356458896711098,0.557332238758646,0.39640332693390934,1.813093138975938,140,
ra,kl_mean_3,GO_LUNG_ALVEOLUS_DEVELOPMENT,0.004305622036164441,0.13861710944207184,0.40701791892395395,0.5753183879498152,1.8117469747912838,21,
ra,kl_mean_3,GO_GLAND_MORPHOGENESIS,0.0011395804220349953,0.09983494874826744,0.45505986738722953,0.4494838279357997,1.7997171772783274,62,
