id,nCount_RNA,nFeature_RNA,date_prepared,collection.time,minutes_until_frozen,date.of.surgery,tags,dob,nest,sex,bird.age,reference,um_from_reference,position,songsystem,section_area,lib_plate,lib_row,lib_column,barcode,pool,index1,index2,procedure2,duration.of.experiment,last_song_datetime,minutes_from_last_song,num_songs_on_euth_date,first_song_datetime,nsongs_per_day_pre,frac_mito,cdr,kl_mean,kl_mean_log_scale_cut2_proc2
2993,221224.8138622,10010,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,1420,ra,1,164,1,A,9,9,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.217930010162337,0.578183570740066,0.496277663413212,deaf-3
3001,117700.912988069,9054,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,1420,arco,0,154,1,A,10,10,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.164587496719756,0.511245582092749,0.496277663413212,deaf-3
2994,110026.00903692,8881,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,1420,ra,1,113,1,B,9,21,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.254572018313556,0.499892899218164,0.496277663413212,deaf-3
2930,441793.333191418,10606,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2040,lman,1,231,1,B,1,13,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.162418329860343,0.644050551569026,0.159434401884372,intact-1
2954,102656.6408313,9097,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2340,x,1,290,1,B,4,16,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.159911603851546,0.519652993466852,0.159434401884372,intact-1
3010,137465.111517909,9282,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,2740,hvc,1,102,1,B,11,23,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.155995049271738,0.522866016921924,0.496277663413212,deaf-3
2946,389653.915899301,10501,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2340,x,1,308,1,B,3,15,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.115450453056223,0.626967976866231,0.159434401884372,intact-1
2985,310004.264603601,10304,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,anterior,2300,stri,0,198,1,A,8,8,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.181403990606324,0.609671200599764,0.496277663413212,deaf-3
3012,121184.232494481,9144,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,2740,ncl,0,102,1,B,12,24,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.163480610264713,0.516868373139124,0.496277663413212,deaf-3
2953,99473.7904854305,8925,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2340,nido,0,135,1,A,4,4,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.125411019029623,0.503266573845989,0.159434401884372,intact-1
2969,105414.948911081,9013,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,posterior,1340,arco,0,110,1,A,6,6,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.178819618999178,0.510067473492557,0.159434401884372,intact-1
2962,345307.661871041,10374,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,posterior,1440,ra,1,158,1,B,5,17,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.221178856692149,0.613205526400343,0.159434401884372,intact-1
2945,177837.1680104,9796,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2340,nido,0,98,1,A,3,3,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.132407021926173,0.563243011673985,0.159434401884372,intact-1
2977,337370.075220129,10301,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,anterior,2300,x,1,198,1,A,7,7,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.214343757005156,0.608600192781407,0.496277663413212,deaf-3
3011,32156.999994,6340,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,2860,ncl,0,93,1,A,12,12,1,701,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.159325969183142,0.350701510121024,0.496277663413212,deaf-3
2938,537288.582310697,10696,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2140,lman,1,327,1,B,2,14,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.159877358499485,0.656152939916461,0.159434401884372,intact-1
2970,258300.08124106,10196,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,posterior,1440,arco,0,158,1,B,6,18,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.163389199086328,0.596176502088465,0.159434401884372,intact-1
2961,211095.265255,10166,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,posterior,1340,ra,1,116,1,A,5,5,1,701,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.180446491193246,0.593927385669915,0.159434401884372,intact-1
2995,227955.50801309,9907,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,1520,ra,1,153,1,C,9,9,2,702,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.231041218068646,0.575291849630502,0.496277663413212,deaf-3
2956,353260.280453449,10362,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2140,x,1,174,1,D,4,16,2,702,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.173498362459131,0.612723572882082,0.159434401884372,intact-1
3004,166628.768778769,9617,2015-10-28,09:20:00,2,2015-10-19,bk27bk53,2015-01-30,N34,male,271,posterior,1620,arco,0,130,1,D,10,22,2,702,53,deaf,9,2015-10-28 08:47:32,32.4666666666667,12,2015-10-28 07:56:27,315,0.160020234381587,0.546321088143943,0.496277663413212,deaf-3
2948,663429.460457049,10741,2015-10-28,09:15:00,3,2015-10-19,or74pu64,2014-12-28,N46,male,304,anterior,2240,x,1,297,1,D,3,15,2,702,53,intact,9,2015-10-28 09:21:40,0,54,2015-10-28 06:50:53,152,0.137617691746753,0.660062118453465,0.159434401884372,intact-1
